capsule_id,capsule_path,discipline,risk,detections_total,sweep_denominator,sweep_denominator_lines,claims_registered,unresolved,coverage_pct
capsule:eism:esquizofrenia_e_transtornos_psicoticos,capsules/EISM/esquizofrenia_e_transtornos_psicoticos.md,EISM,high,51,16,16,0,16,0.0
capsule:eism:farmacoterapia_da_insonia,capsules/EISM/farmacoterapia_da_insonia.md,EISM,medium,42,10,10,0,10,0.0
capsule:eism:psicopatologia,capsules/EISM/psicopatologia.md,EISM,medium,8,0,0,0,0,100.0
capsule:eism:psiquiatria_infancia_e_adolescencia,capsules/EISM/psiquiatria_infancia_e_adolescencia.md,EISM,medium,16,0,0,0,0,100.0
capsule:eism:risco_de_suicidio,capsules/EISM/risco_de_suicidio.md,EISM,high,41,9,6,0,9,0.0
capsule:eism:sexualidade_humana_e_disfuncoes_sexuais,capsules/EISM/sexualidade_humana_e_disfuncoes_sexuais.md,EISM,low,19,5,5,0,5,0.0
capsule:eism:tdah,capsules/EISM/tdah.md,EISM,medium,21,2,2,0,2,0.0
capsule:eism:tept_e_tea,capsules/EISM/tept_e_tea.md,EISM,medium,45,13,13,0,13,0.0
capsule:eism:toc,capsules/EISM/toc.md,EISM,medium,36,13,13,0,13,0.0
capsule:eism:transtorno_bipolar_e_estabilizadores_do_humor,capsules/EISM/transtorno_bipolar_e_estabilizadores_do_humor.md,EISM,high,69,27,19,4,19,29.63
capsule:eism:transtornos_alimentares,capsules/EISM/transtornos_alimentares.md,EISM,high,48,24,20,0,24,0.0
capsule:eism:transtornos_de_ansiedade,capsules/EISM/transtornos_de_ansiedade.md,EISM,medium,31,13,12,0,13,0.0
capsule:eism:transtornos_de_personalidade,capsules/EISM/transtornos_de_personalidade.md,EISM,medium,27,9,9,0,9,0.0
capsule:eism:transtornos_dissociativos,capsules/EISM/transtornos_dissociativos.md,EISM,low,10,3,3,0,3,0.0
capsule:eism:transtornos_mentais_na_gravidez_e_puerperio,capsules/EISM/transtornos_mentais_na_gravidez_e_puerperio.md,EISM,high,47,6,6,0,6,0.0
capsule:eism:transtornos_por_uso_de_substancias,capsules/EISM/transtornos_por_uso_de_substancias.md,EISM,high,27,12,12,0,12,0.0
capsule:osce:formato_roteiro_osce_p7,capsules/OSCE/formato_roteiro_osce_p7.md,OSCE,low,21,0,0,1,0,100.0
capsule:osce:osce_banco_de_estacoes,capsules/OSCE/osce_banco_de_estacoes.md,OSCE,high,49,11,10,0,11,0.0
capsule:osce:osce_endocrinologia,capsules/OSCE/osce_endocrinologia.md,OSCE,high,65,24,18,0,24,0.0
capsule:osce:osce_nefrologia,capsules/OSCE/osce_nefrologia.md,OSCE,high,56,28,18,0,28,0.0
capsule:osce:osce_neurologia,capsules/OSCE/osce_neurologia.md,OSCE,high,104,49,34,0,49,0.0
capsule:osce:osce_pediatria,capsules/OSCE/osce_pediatria.md,OSCE,high,123,51,32,0,51,0.0
capsule:osce:osce_urologia,capsules/OSCE/osce_urologia.md,OSCE,high,108,51,34,0,51,0.0
